date,value
2021-09-08,65728
2021-09-09,66549
2021-09-10,67381
2021-09-11,68223
2021-09-12,69076
2021-09-13,69940
2021-09-14,70814
2021-09-15,71699
2021-09-16,72595
2021-09-17,73503
2021-09-18,74421
2021-09-19,75352
2021-09-20,76294
2021-09-21,77247
2021-09-22,78213
2021-09-23,79191
2021-09-24,80180
2021-09-25,81183
2021-09-26,82197
2021-09-27,83225
2021-09-28,84265
2021-09-29,85319
2021-09-30,86385
2021-10-01,87465
2021-10-02,88558
2021-10-03,89665
2021-10-04,90786
2021-10-05,91921
2021-10-06,93070
2021-10-07,94233
2021-10-08,95411
2021-10-09,96604
2021-10-10,97811
2021-10-11,99034
2021-10-12,100272
2021-10-13,101525
2021-10-14,102794
2021-10-15,104079
2021-10-16,105380
2021-10-17,106697
2021-10-18,108031
2021-10-19,109382
2021-10-20,110749
2021-10-21,112133
2021-10-22,113535
2021-10-23,114954
2021-10-24,116391
