date,value
2022-09-09,84391
2022-09-10,84291
2022-09-11,84191
2022-09-12,84091
2022-09-13,83991
2022-09-14,83891
2022-09-15,83791
2022-09-16,83691
2022-09-17,83591
2022-09-18,83491
2022-09-19,83391
2022-09-20,83291
2022-09-21,83191
2022-09-22,83091
2022-09-23,82991
2022-09-24,82891
2022-09-25,82791
2022-09-26,82691
2022-09-27,82591
2022-09-28,82491
2022-09-29,82391
2022-09-30,82291
2022-10-01,82191
2022-10-02,82091
2022-10-03,81991
2022-10-04,81891
2022-10-05,81791
2022-10-06,81691
2022-10-07,81591
2022-10-08,81491
2022-10-09,81391
2022-10-10,81291
2022-10-11,81191
2022-10-12,81091
2022-10-13,80991
2022-10-14,80891
2022-10-15,80791
2022-10-16,80691
2022-10-17,80591
2022-10-18,80491
2022-10-19,80391
2022-10-20,80291
2022-10-21,80191
2022-10-22,80091
2022-10-23,79991
2022-10-24,79891
2022-10-25,79791
2022-10-26,79691
2022-10-27,79591
2022-10-28,79491
2022-10-29,79391
2022-10-30,79291
2022-10-31,79191
2022-11-01,79091
2022-11-02,78991
2022-11-03,78891
2022-11-04,78791
2022-11-05,78691
2022-11-06,78591
2022-11-07,78491
2022-11-08,78391
2022-11-09,78291
2022-11-10,78191
2022-11-11,78091
2022-11-12,77991
2022-11-13,77891
2022-11-14,77791
2022-11-15,77691
2022-11-16,77591
2022-11-17,77491
2022-11-18,77391
2022-11-19,77291
2022-11-20,77191
2022-11-21,77091
2022-11-22,76991
2022-11-23,76891
2022-11-24,76791
2022-11-25,76691
2022-11-26,76591
2022-11-27,76491
2022-11-28,76391
2022-11-29,76291
2022-11-30,76191
2022-12-01,76091
2022-12-02,75991
2022-12-03,75891
2022-12-04,75791
2022-12-05,75691
2022-12-06,75591
2022-12-07,75491
2022-12-08,75391
2022-12-09,75291
2022-12-10,75191
2022-12-11,75091
2022-12-12,74991
2022-12-13,74891
2022-12-14,74791
2022-12-15,74691
2022-12-16,74591
2022-12-17,74491
2022-12-18,74391
2022-12-19,74291
2022-12-20,74191
2022-12-21,74091
2022-12-22,73991
2022-12-23,73891
2022-12-24,73791
2022-12-25,73691
2022-12-26,73591
2022-12-27,73491
2022-12-28,73391
2022-12-29,73291
2022-12-30,73191
2022-12-31,73091
2023-01-01,72991
2023-01-02,72891
2023-01-03,72791
2023-01-04,72691
2023-01-05,72591
2023-01-06,72491
2023-01-07,72391
2023-01-08,72291
2023-01-09,72191
2023-01-10,72091
2023-01-11,71991
2023-01-12,71891
2023-01-13,71791
2023-01-14,71691
2023-01-15,71591
2023-01-16,71491
2023-01-17,71391
2023-01-18,71291
2023-01-19,71191
2023-01-20,71091
2023-01-21,70991
2023-01-22,70891
2023-01-23,70791
2023-01-24,70691
2023-01-25,70591
2023-01-26,70491
2023-01-27,70391
2023-01-28,70291
2023-01-29,70191
2023-01-30,70091
2023-01-31,69991
2023-02-01,69891
2023-02-02,69791
2023-02-03,69691
2023-02-04,69591
2023-02-05,69491
2023-02-06,69391
2023-02-07,69291
2023-02-08,69191
2023-02-09,69091
2023-02-10,68991
2023-02-11,68891
2023-02-12,68791
2023-02-13,68691
2023-02-14,68591
2023-02-15,68491
2023-02-16,68391
2023-02-17,68291
2023-02-18,68191
2023-02-19,68091
2023-02-20,67991
2023-02-21,67891
2023-02-22,67791
2023-02-23,67691
2023-02-24,67591
2023-02-25,67491
2023-02-26,67391
2023-02-27,67291
2023-02-28,67191
2023-03-01,67091
2023-03-02,66991
2023-03-03,66891
2023-03-04,66791
2023-03-05,66691
2023-03-06,66591
2023-03-07,66491
2023-03-08,66391
2023-03-09,66291
2023-03-10,66191
2023-03-11,66091
2023-03-12,65991
2023-03-13,65891
2023-03-14,65791
2023-03-15,65691
2023-03-16,65591
2023-03-17,65491
2023-03-18,65391
2023-03-19,65291
2023-03-20,65191
2023-03-21,65091
2023-03-22,64991
2023-03-23,64891
2023-03-24,64791
2023-03-25,64691
2023-03-26,64591
2023-03-27,64491
2023-03-28,64391
2023-03-29,64291
2023-03-30,64191
2023-03-31,64091
2023-04-01,63991
2023-04-02,63891
2023-04-03,63791
2023-04-04,63691
2023-04-05,63591
2023-04-06,63491
2023-04-07,63391
2023-04-08,63291
2023-04-09,63191
2023-04-10,63091
2023-04-11,62991
2023-04-12,62891
2023-04-13,62791
2023-04-14,62691
2023-04-15,62591
2023-04-16,62491
2023-04-17,62391
2023-04-18,62291
2023-04-19,62191
2023-04-20,62091
2023-04-21,61991
2023-04-22,61891
2023-04-23,61791
2023-04-24,61691
2023-04-25,61591
2023-04-26,61491
2023-04-27,61391
2023-04-28,61291
2023-04-29,61191
2023-04-30,61091
2023-05-01,60991
2023-05-02,60891
2023-05-03,60791
2023-05-04,60691
2023-05-05,60591
2023-05-06,60491
2023-05-07,60391
2023-05-08,60291
2023-05-09,60191
2023-05-10,60091
2023-05-11,59991
2023-05-12,59891
2023-05-13,59791
2023-05-14,59691
2023-05-15,59591
2023-05-16,59491
2023-05-17,59391
2023-05-18,59291
2023-05-19,59191
2023-05-20,59091
2023-05-21,58991
2023-05-22,58891
2023-05-23,58791
2023-05-24,58691
2023-05-25,58591
2023-05-26,58491
2023-05-27,58391
2023-05-28,58291
2023-05-29,58191
2023-05-30,58091
2023-05-31,57991
2023-06-01,57891
2023-06-02,57791
2023-06-03,57691
2023-06-04,57591
2023-06-05,57491
2023-06-06,57391
2023-06-07,57291
2023-06-08,57191
2023-06-09,57091
2023-06-10,56991
2023-06-11,56891
2023-06-12,56791
2023-06-13,56691
2023-06-14,56591
2023-06-15,56491
2023-06-16,56391
2023-06-17,56291
2023-06-18,56191
2023-06-19,56091
2023-06-20,55991
2023-06-21,55891
2023-06-22,55791
2023-06-23,55691
2023-06-24,55591
2023-06-25,55491
2023-06-26,55391
2023-06-27,55291
2023-06-28,55191
2023-06-29,55091
2023-06-30,54991
2023-07-01,54891
2023-07-02,54791
2023-07-03,54691
2023-07-04,54591
2023-07-05,54491
2023-07-06,54391
2023-07-07,54291
2023-07-08,54191
2023-07-09,54091
2023-07-10,53991
2023-07-11,53891
2023-07-12,53791
2023-07-13,53691
2023-07-14,53591
2023-07-15,53491
2023-07-16,53391
2023-07-17,53291
2023-07-18,53191
2023-07-19,53091
2023-07-20,52991
2023-07-21,52891
2023-07-22,52791
2023-07-23,52691
2023-07-24,52591
2023-07-25,52491
2023-07-26,52391
2023-07-27,52291
2023-07-28,52191
2023-07-29,52091
2023-07-30,51991
2023-07-31,51891
2023-08-01,51791
2023-08-02,51691
2023-08-03,51591
2023-08-04,51491
2023-08-05,51391
2023-08-06,51291
2023-08-07,51191
2023-08-08,51091
2023-08-09,50991
2023-08-10,50891
2023-08-11,50791
2023-08-12,50691
2023-08-13,50591
2023-08-14,50491
2023-08-15,50391
2023-08-16,50291
2023-08-17,50191
2023-08-18,50091
2023-08-19,49991
2023-08-20,49891
2023-08-21,49791
2023-08-22,49691
2023-08-23,49591
2023-08-24,49491
2023-08-25,49391
2023-08-26,49291
2023-08-27,49191
2023-08-28,49091
2023-08-29,48991
2023-08-30,48891
2023-08-31,48791
2023-09-01,48691
2023-09-02,48591
2023-09-03,48491
2023-09-04,48391
2023-09-05,48291
2023-09-06,48191
2023-09-07,48091
2023-09-08,47991
2023-09-09,47891
2023-09-10,47791
2023-09-11,47691
2023-09-12,47591
2023-09-13,47491
2023-09-14,47391
2023-09-15,47291
2023-09-16,47191
2023-09-17,47091
2023-09-18,46991
2023-09-19,46891
2023-09-20,46791
2023-09-21,46691
2023-09-22,46591
2023-09-23,46491
2023-09-24,46391
2023-09-25,46291
2023-09-26,46191
2023-09-27,46091
2023-09-28,45991
2023-09-29,45891
2023-09-30,45791
2023-10-01,45691
2023-10-02,45591
2023-10-03,45491
2023-10-04,45391
2023-10-05,45291
2023-10-06,45191
2023-10-07,45091
2023-10-08,44991
2023-10-09,44891
2023-10-10,44791
2023-10-11,44691
2023-10-12,44591
2023-10-13,44491
2023-10-14,44391
2023-10-15,44291
2023-10-16,44191
2023-10-17,44091
2023-10-18,43991
2023-10-19,43891
2023-10-20,43791
2023-10-21,43691
2023-10-22,43591
2023-10-23,43491
2023-10-24,43391
2023-10-25,43291
2023-10-26,43191
2023-10-27,43091
2023-10-28,42991
2023-10-29,42891
2023-10-30,42791
2023-10-31,42691
2023-11-01,42591
2023-11-02,42491
2023-11-03,42391
2023-11-04,42291
2023-11-05,42191
2023-11-06,42091
2023-11-07,41991
2023-11-08,41891
2023-11-09,41791
2023-11-10,41691
2023-11-11,41591
2023-11-12,41491
2023-11-13,41391
2023-11-14,41291
2023-11-15,41191
2023-11-16,41091
2023-11-17,40991
2023-11-18,40891
2023-11-19,40791
2023-11-20,40691
2023-11-21,40591
2023-11-22,40491
2023-11-23,40391
